Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/14/20 18:52,Oregon,2020-02-28,State-wide,,,,Banned gatherings of a certain size,250,,,,"""On February 28...She later ordered the cancellation of events for 250 or more people.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response
4/13/20 11:42,Washington,2020-02-29,State-wide,State of Emergency declared,,,,,,,,"""On February 29, Governor Jay Inslee declared a state of emergency after the first US death attributable to COVID-19 occurred""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764
4/11/20 10:57,Florida,2020-03-01,State-wide,State of Emergency declared,,,,,,,,"""On March 1, Governor DeSantis declared a public health emergency after two cases were confirmed in Manatee County and Hillsborough County.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response
4/10/20 14:39,Alabama,2020-03-02,State-wide,,,,Suggested social distancing,,,,,"""On March 2, the Alabama Department of Public Health advised individuals to ""wash your hands frequently, avoid touching your face, cover coughs and sneezes, stay home when you are ill, and practice social distancing strategies"".""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/20 16:23,California,2020-03-04,State-wide,State of Emergency declared,,,,,,,,"""On March 4, when 53 cases had been confirmed within the state and there had been one fatality, Governor Gavin Newsom declared a state of emergency""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/11/20 12:05,Hawaii,2020-03-04,State-wide,State of Emergency declared,,,,,,,,"""On March 4, Governor David Ige declared a state of emergency until April 29.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 15:00,Maryland,2020-03-05,State-wide,State of Emergency declared,,,,,,,,"""On March 5, Governor Larry Hogan declared a state of emergency after the first three cases of coronavirus were confirmed in the state.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 12:23,Indiana,2020-03-06,State-wide,State of Emergency declared,,,,,,,,"""On March 6, Governor Eric Holcomb declared a public health emergency due to the first positive Indiana case.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 14:39,Kentucky,2020-03-06,State-wide,State of Emergency declared,,,,,,,,"""March 6 – Governor Andy Beshear declared a state of emergency, also confirming the state's first COVID-19 case.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 14:29,New York,2020-03-07,State-wide,State of Emergency declared,,,,,,,,"""On March 7, Governor Andrew Cuomo declared a state of emergency.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response
4/14/20 14:30,New York,2020-03-08,Scarsdale,,,,,,Schools closed,,,"""A number of schools and school districts announced closings or schedule modifications by March 8 due to the virus."" and ""Columbia, Hofstra and Yeshiva universities canceled classes, and public schools in the suburb of Scarsdale will close for the week.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response and https://www.nytimes.com/2020/03/09/nyregion/coronavirus-new-york.html
4/14/20 18:57,Oregon,2020-03-08,State-wide,State of Emergency declared,,,,,,,,"""Oregon Gov. Kate Brown declared a state of emergency on Sunday to contain the new coronavirus after the number of confirmed cases doubled to 14 from the previous day.""",https://www.usnews.com/news/best-states/oregon/articles/2020-03-08/oregon-declares-state-of-emergency-to-fight-new-coronavirus
4/11/20 12:19,Illinois,2020-03-09,State-wide,State of Emergency declared,,,,,,,,"""On March 9, Governor J. B. Pritzker issued a disaster proclamation, the state's equivalent to a state of emergency, as four new cases were announced in the state.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response
4/11/20 12:27,Iowa,2020-03-09,State-wide,State of Emergency declared,,,,,,,,"""March 9 – Proclamation of Disaster Emergency signed by Governor Kim Reynolds""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 14:19,New Jersey,2020-03-09,State-wide,State of Emergency declared,,,,,,,,"""On March 9, Governor Phil Murphy declared a state of emergency.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response
4/14/20 17:27,Ohio,2020-03-09,State-wide,State of Emergency declared,,,,,,,,"""On March 9, DeWine declared a state of emergency, when the state had 3 cases.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/14/20 18:08,Rhode Island,2020-03-09,State-wide,State of Emergency declared,,,,,,,,"“March 9, Governor Gina Raimondo declares a state of emergency.”",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/11/20 10:36,Colorado,2020-03-10,State-wide,State of Emergency declared,,,,,,,,"""On March 10, Governor Polis declared a state of disaster emergency. """,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 10:51,Connecticut,2020-03-10,State-wide,State of Emergency declared,,,,,,,,"""On March 10, governor Ned Lamont declared a civil preparedness and public health emergency in response to the coronavirus.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut
4/14/20 9:52,Massachusetts,2020-03-10,State-wide,State of Emergency declared,,,,,,,,"""Citing the rapid increase in cases, Governor Charlie Baker declared a state of emergency for Massachusetts on March 10.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response
4/14/20 14:20,New Jersey,2020-03-10,State-wide,,,,,,Schools closed,,,"""A day later, schools and universities began closing and switching classes to online. """,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response
4/14/20 16:52,North Carolina,2020-03-10,State-wide,State of Emergency declared,,,,,,,,"""On March 10, Governor Roy Cooper declared a state of emergency after five more cases tested presumptive positive on March 9.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/13/20 11:17,Wisconsin,2020-03-10,Osceola,,,,,,Schools closed,,,"""The Osceola School District closed schools on March 10, to sanitize the buildings and buses after a person who attended a regional sports tournament was found to be infected.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response
4/10/20 15:14,Alaska,2020-03-11,State-wide,State of Emergency declared,,,,,,,,See table.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/10/20 16:15,Arkansas,2020-03-11,State-wide,State of Emergency declared,,,,,,,,"""On March 11, Governor Asa Hutchinson declared a public health emergency in response to the first presumptive case in the state""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/11/20 14:52,Louisiana,2020-03-11,State-wide,State of Emergency declared,,,,,,,,See table.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 14:27,New Mexico,2020-03-11,State-wide,State of Emergency declared,,,,,,,,"""On March 11, Governor Michelle Lujan Grisham declared a state of emergency.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-403
4/13/20 12:02,Washington,2020-03-11,"King, Snohomish, and Pierce",,,,Banned gatherings of a certain size,250,,,,"""On March 11, Governor Inslee invoked emergency powers and banned ""social, spiritual, and recreational gatherings"" of over 250 people in King, Snohomish and Pierce Counties (including the core of the Seattle metropolitan area) for at least the month of March""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response
4/10/20 15:16,Arizona,2020-03-12,State-wide,State of Emergency declared,,,,,,,,"""Arizona Governor Doug Ducey declared a public health emergency on March 12.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona
4/10/20 16:15,Arkansas,2020-03-12,"Saline, Jefferson, Pulaski, and Grant",,,,,,Schools closed,,,"""On March 12, the governor ordered school closings in Saline, Jefferson, Pulaski, and Grant counties until March 30.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
